Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
SRG,2,0,-8654.74,0,-92.01,0,-2089.29,0,-56.37,0.0,-461.66,0.0,-98.63
SRI,1,0,-96.8,0,-103.7,0,-89.62,0,-506.79,0.0,-133.62,0.0,-850.46
SRI,2,1,422.51,0,-568.0,1,267.95,0,-172.73,1.0,118.1,0.0,-15.09
SRLP,1,2,242.1,0,-154.05,2,114.36,0,-122.09,2.0,179.32,0.0,-136.29
SRLP,2,0,-242.53,1,48.93,0,-1482.83,1,67.34,0.0,-145.55,0.0,-8.98
SSD,1,0,-282.81,2,593.12,0,-264.93,2,116.07,0.0,-312.89,2.0,352.82
SSD,2,1,0.77,0,-70.31,0,-21.61,0,-48.66,0.0,-44.18,0.0,-76.22
SSTK,1,0,-6.45,2,104.66,2,152.25,0,-43.38,0.0,-24.03,2.0,489.92
SSTK,2,1,181.3,0,-51.54,1,396.85,0,-63.1,0.0,-95.03,0.0,-127.67
ST,1,0,-62.7,0,-215.86,0,-59.2,0,-481.19,0.0,-79.7,0.0,-19.54
ST,2,1,286.07,0,-180.62,1,243.85,0,-131.08,1.0,143.98,0.0,-203.0
STAG,1,2,1079.22,2,10.51,2,4096.3,2,21.84,2.0,1180.0,2.0,597.56
STAG,2,0,-218.46,0,-6.33,0,-65.82,0,-5.55,1.0,135.0,0.0,-122.88
STAR,1,0,-218.07,2,106.44,0,-24.34,2,126.89,0.0,-748.84,0.0,-125.03
STAR,2,1,285.48,0,-124.26,1,150.57,0,-192.05,0.0,-743.32,1.0,406.17
STC,1,0,-22.97,2,248.72,2,53.57,2,956.47,0.0,-99.16,2.0,35.93
STC,2,1,33.69,1,468.5,0,-10.97,1,169.11,0.0,-90.36,1.0,2761.73
STE,1,0,-67.72,2,36.88,0,-46.47,2,44.43,0.0,-58.14,2.0,572.85
STE,2,1,179.74,1,30.56,1,169.66,1,2110.71,1.0,169.43,0.0,-96.96
STG,1,2,173.41,0,-91.12,2,161.12,0,-89.23,0.0,-69.7,,
STG,2,0,-364.8,0,-18.81,0,-432.5,0,-21.37,0.0,-105.73,,
STL,1,0,-68.46,0,-1093.69,0,-68.46,0,-1093.69,0.0,-116.15,0.0,-1193.41
STL,2,0,-64.52,0,-103.18,0,-64.52,0,-103.18,0.0,-77.26,0.0,-98.26
STM,1,0,-1.94,2,159.02,0,-23.07,2,719.64,0.0,-11.06,2.0,127.47
STM,2,1,328.81,0,-123.72,1,530.08,0,-107.1,1.0,405.46,0.0,-132.77
STN,1,0,-132.87,0,-136.47,0,-64.29,0,-106.79,0.0,-431.67,0.0,-104.2
STN,2,0,-35.71,1,251.16,0,-746.51,1,85.49,0.0,-33.08,1.0,700.49
STNG,1,0,-33.37,0,-34.09,0,-54.91,2,47.33,0.0,-159.9,0.0,-44.84
STNG,2,0,-216.07,1,215.07,0,-234.72,1,44.61,0.0,-0.09,0.0,-219.84
STON,1,2,5927.59,0,-36.73,2,1244.74,0,-28.94,0.0,-46.43,0.0,-4801.96
STON,2,0,-97.71,0,-580.39,0,-110.43,0,-277.45,0.0,-229.86,0.0,-98.12
STT,1,2,236.57,0,-63.28,2,236.57,0,-63.28,0.0,-81.22,2.0,210.5
STT,2,0,-26.32,0,-140.34,0,-26.32,0,-140.34,0.0,-248.82,0.0,-168.38
STWD,1,0,-3.72,0,-106.09,2,4.05,0,-137.35,0.0,-162.91,0.0,-59.29
STWD,2,1,136.61,0,-45.54,1,83.55,0,-87.2,0.0,-97.99,1.0,496.05
STZ,1,0,-58.88,0,-32.42,0,-48.05,0,-60.4,0.0,-57.55,0.0,-290.53
STZ,2,1,181.03,0,-25.26,1,375.79,1,99.72,1.0,353.11,0.0,-0.49
SU,1,0,-87.73,0,-890.04,0,-94.36,0,-6896.08,0.0,-16.13,0.0,-2343.57
SU,2,1,246.36,0,-68.14,1,221.48,0,-102.47,0.0,-51.3,0.0,-58.36
SUI,1,0,-123.8,0,-15.08,0,-112.16,0,-9.15,0.0,-353.87,0.0,-164.66
SUI,2,1,1128.78,0,-10.6,1,1641.55,0,-20.47,0.0,-92.14,0.0,-23.63
SUM,1,0,-261.01,0,-32.95,0,-196.15,0,-14.04,0.0,-204.76,2.0,78.33
SUM,2,0,-94.81,1,387.28,0,-82.66,0,-33.83,0.0,-74.22,1.0,200.49
SUN,1,0,-39.58,0,-170.74,0,-125.76,0,-1415.81,0.0,-57.28,0.0,-123.42
SUN,2,0,-106.04,1,10315.79,1,195.69,0,-105.2,0.0,-121.58,1.0,116.7
SUP,1,2,239.13,0,-133.91,2,329.17,0,-124.23,2.0,242.3,0.0,-1544.04
SUP,2,0,-866.98,1,239.01,0,-1653.38,0,-30.63,0.0,-11.81,1.0,179.28
SUPV,1,0,-89.91,2,175.02,0,-89.91,2,175.02,0.0,-120.92,0.0,-64.15
SUPV,2,1,518.25,0,-104.01,1,518.25,0,-104.01,1.0,5.42,0.0,-585.85
SWCH,1,0,-89.84,2,2597.44,2,259.78,2,90.81,0.0,-100.0,0.0,-78.8
SWCH,2,0,-852.94,0,-96.18,0,-158.97,0,-61.26,1.0,600.0,1.0,107.74
SWK,1,0,-56.98,2,373.97,0,-35.15,0,-80.55,0.0,-66.83,0.0,-62.2
SWK,2,1,1287.5,0,-176.84,1,3750.0,0,-57.98,0.0,-16.77,1.0,217.29
SWN,1,0,-34.47,0,-345.07,2,67.55,0,-203.74,0.0,-15.83,2.0,280.3
SWN,2,1,424.73,0,-68.07,1,192.84,0,-34.68,0.0,-97.19,0.0,-134.14
SWX,1,2,1188.08,2,10.01,2,245.88,0,-31.09,0.0,-10.09,2.0,179.35
SWX,2,0,-83.01,1,229.51,1,147.51,0,-35.92,0.0,-128.13,0.0,-132.95
SXC,1,2,216.15,0,-4737.5,2,124.65,0,-262.14,0.0,-27.27,2.0,117.15
SXC,2,0,-329.05,0,-96.13,0,-9.33,1,14.83,0.0,-512.54,0.0,-655.84
SXI,1,0,-64.05,0,-313.28,0,-61.36,0,-174.13,0.0,-95.85,0.0,-179.11
SXI,2,1,256.29,0,-20.82,1,182.51,1,192.33,1.0,229.7,1.0,507.16
SXT,1,0,-118.29,2,121.82,2,2186.67,2,114.97,0.0,-377.07,2.0,170.44
SXT,2,1,139.19,0,-329.69,1,101.91,0,-356.11,0.0,-82.25,0.0,-157.82
SYF,1,0,-24.3,0,-299.56,0,-24.3,0,-299.56,0.0,-81.94,0.0,-221.6
SYF,2,1,269.58,1,90.48,1,269.58,1,90.48,1.0,984.59,0.0,-10.8
SYK,1,0,-77.14,0,-171.85,0,-60.09,0,-137.96,0.0,-101.02,0.0,-43.48
SYK,2,1,271.28,1,4.46,1,253.24,1,1.4,1.0,819.22,0.0,-116.63
SYX,1,0,-143.56,2,63.76,0,-122.93,2,55.66,0.0,-51.16,0.0,-117.26
SYX,2,1,95.45,0,-53.68,1,176.65,0,-58.03,1.0,404.71,1.0,104.98
SYY,1,0,-113.09,0,-552.4,0,-105.64,0,-608.9,0.0,-150.93,0.0,-569.11
SYY,2,1,207.29,0,-41.6,1,193.08,0,-61.06,1.0,101.16,0.0,-37.87
T,1,2,161.08,0,-185.78,2,133.33,0,-185.27,0.0,-563.64,0.0,-314.73
T,2,0,-10.18,0,-39.81,1,179.21,0,-3.93,1.0,277.23,0.0,-16.07
TAC,1,0,-45.67,2,232.5,2,163.18,2,273.71,0.0,-58.15,2.0,512.14
TAC,2,0,-222.49,0,-0.06,0,-5591.84,0,-33.07,0.0,-458.6,0.0,-88.88
TAK,1,2,181.94,2,134.22,2,476.4,2,208.56,2.0,2912.5,0.0,-42.36
TAK,2,0,-108.74,1,123.69,0,-141.18,1,731.08,0.0,-204.0,0.0,-191.26
TAL,1,0,-81.54,0,-57.25,0,-93.19,0,-43.95,0.0,-431.79,0.0,-265.16
TAL,2,1,53.62,1,13.44,1,17.3,0,-23.25,0.0,-145.33,1.0,45.57
TALO,1,2,347.02,0,-101.4,2,199.44,0,-98.29,0.0,-63.3,0.0,-122.86
TALO,2,0,-329.9,1,15.92,0,-167.69,1,93.02,0.0,-100.67,1.0,553.37
TAP,1,0,-271.89,0,-2741.03,0,-266.97,0,-394.35,0.0,-761.73,0.0,-530.45
TAP,2,0,-78.07,1,103.2,0,-47.56,0,-16.51,0.0,-71.67,0.0,-172.68
TARO,1,0,-140.2,0,-168.75,0,-108.82,0,-409.92,0.0,-124.57,0.0,-132.5
TARO,2,1,170.19,0,-87.6,1,165.42,1,104.89,1.0,112.18,1.0,171.47
TBI,1,0,-71.43,0,-433.58,0,-71.15,0,-322.41,0.0,-103.83,0.0,-28279.67
TBI,2,1,196.18,0,-263.75,1,217.6,0,-1273.68,1.0,321.29,0.0,-105.68
TCI,1,0,-143.2,0,-9301.35,0,-143.34,0,-2388.93,2.0,248.68,0.0,-202.62
TCI,2,1,214.83,0,-92.63,1,277.56,0,-144.0,0.0,-216.3,1.0,112.31
TCP,1,0,-17.75,2,110.61,0,-16.56,2,104.86,0.0,-20.55,0.0,-98.21
TCP,2,1,156.69,0,-167.75,1,155.05,0,-168.32,1.0,143.28,1.0,229.62
TCS,1,0,-89.4,0,-65.11,0,-82.77,0,-47.29,0.0,-101.11,0.0,-366.64
TCS,2,1,292.24,1,21.54,1,271.33,0,-2.86,1.0,193.47,0.0,-56.94
TD,1,0,-113.56,0,-196.19,0,-113.56,0,-196.19,2.0,165.85,2.0,295.35
TD,2,1,81.08,0,-37.54,1,81.08,0,-37.54,1.0,198.59,0.0,-96.15
TDC,1,2,160.61,2,210.16,2,1334.85,0,-72.9,2.0,612.82,2.0,532.81
TDC,2,0,-85.15,0,-2272.41,0,-112.45,0,-3410.81,0.0,-22.92,0.0,-216.87
TDG,1,0,-110.92,0,-121.59,0,-137.51,0,-106.21,0.0,-108.46,0.0,-142.0
TDG,2,1,125.93,1,267.45,1,150.62,1,323.43,1.0,1602.95,0.0,-113.8
TDOC,1,2,84.01,2,228.97,2,65.09,2,201.57,0.0,-76.47,0.0,-74.32
TDOC,2,0,-41.64,0,-59.76,0,-40.5,0,-59.06,0.0,-72.14,0.0,-131.58
TDS,1,0,-165.87,0,-33.19,0,-18.63,0,-27.48,0.0,-558.12,2.0,829.99
TDS,2,1,251.81,0,-27.44,1,2918.75,1,1.55,1.0,451.57,0.0,-18.01
TECK,1,0,-12.84,0,-124.59,0,-64.64,0,-399.4,0.0,-760.71,0.0,-58.73
TECK,2,1,219.08,0,-2908.33,1,220.12,0,-191.26,1.0,361.73,0.0,-581.53
TEF,1,2,10673.44,0,-1357.43,0,-102.9,0,-2620.0,0.0,-1237.16,0.0,-1228.19
TEF,2,1,133.89,1,117.15,1,108.26,0,-93.71,0.0,-88.94,0.0,-81.35
TEL,1,0,-50.7,0,-102.7,0,-71.41,0,-145.85,0.0,-89.85,0.0,-345.85
TEL,2,1,218.44,0,-155.06,1,238.17,0,-126.08,1.0,830.68,0.0,-146.54
TEN,1,0,-102.66,0,-161.02,0,-84.92,0,-124.55,2.0,416.14,0.0,-34.87
TEN,2,1,446.32,1,60.0,1,296.42,1,80.14,0.0,-27.53,0.0,-623.34
TEO,1,0,-167.67,0,-107.75,0,-179.33,0,-105.46,0.0,-105.13,0.0,-80.89
TEO,2,1,331.99,1,101.36,1,193.3,1,118.15,0.0,-73.33,0.0,-212.4
TEVA,1,2,109.5,2,127.51,2,327.96,0,-82.17,2.0,103.28,0.0,-389.56
TEVA,2,1,134.73,0,-59.0,1,124.96,0,-53.81,0.0,-2803.22,0.0,-28.37
TEX,1,0,-94.59,0,-409.74,0,-74.63,0,-707.99,2.0,31.55,0.0,-146.13
TEX,2,1,269.05,0,-130.36,1,163.37,0,-119.04,1.0,356.98,0.0,-651.59
